time (s),freq(clip(vtime("tran" "/OUT" nil ) 50n 100n ) "rising" ?xName "time" ?mode "user" ?threshold -0.06) (Hz)
65.15E-9,15.88E9
65.21E-9,15.88E9
65.27E-9,15.87E9
65.34E-9,15.88E9
65.40E-9,15.88E9
65.46E-9,15.87E9
65.53E-9,15.88E9
65.59E-9,15.89E9
65.65E-9,15.88E9
65.71E-9,15.87E9
65.78E-9,15.88E9
65.84E-9,15.87E9
65.90E-9,15.87E9
65.97E-9,15.88E9
66.03E-9,15.89E9
66.09E-9,15.88E9
66.16E-9,15.88E9
66.22E-9,15.87E9
66.28E-9,15.88E9
66.34E-9,15.88E9
66.41E-9,15.88E9
66.47E-9,15.88E9
66.53E-9,15.88E9
66.60E-9,15.88E9
66.66E-9,15.88E9
66.72E-9,15.88E9
66.79E-9,15.88E9
66.85E-9,15.88E9
66.91E-9,15.88E9
66.97E-9,15.88E9
67.04E-9,15.88E9
67.10E-9,15.87E9
67.16E-9,15.87E9
67.23E-9,15.87E9
67.29E-9,15.87E9
67.35E-9,15.86E9
67.42E-9,15.86E9
67.48E-9,15.86E9
67.54E-9,15.86E9
67.60E-9,15.87E9
67.67E-9,15.87E9
67.73E-9,15.86E9
67.79E-9,15.86E9
67.86E-9,15.87E9
67.92E-9,15.87E9
67.98E-9,15.87E9
68.05E-9,15.87E9
68.11E-9,15.87E9
68.17E-9,15.87E9
68.23E-9,15.87E9
68.30E-9,15.87E9
68.36E-9,15.88E9
68.42E-9,15.87E9
68.49E-9,15.87E9
68.55E-9,15.87E9
68.61E-9,15.88E9
68.68E-9,15.88E9
68.74E-9,15.87E9
68.80E-9,15.88E9
68.86E-9,15.88E9
68.93E-9,15.88E9
68.99E-9,15.88E9
69.05E-9,15.87E9
69.12E-9,15.88E9
69.18E-9,15.88E9
69.24E-9,15.88E9
69.31E-9,15.88E9
69.37E-9,15.88E9
69.43E-9,15.88E9
69.49E-9,15.88E9
69.56E-9,15.87E9
69.62E-9,15.87E9
69.68E-9,15.87E9
69.75E-9,15.88E9
69.81E-9,15.87E9
69.87E-9,15.87E9
69.94E-9,15.88E9
70.00E-9,15.88E9
70.06E-9,15.88E9
70.12E-9,15.87E9
70.19E-9,15.87E9
70.25E-9,15.87E9
70.31E-9,15.88E9
70.38E-9,15.87E9
70.44E-9,15.87E9
70.50E-9,15.86E9
70.57E-9,15.87E9
70.63E-9,15.88E9
70.69E-9,15.86E9
70.75E-9,15.87E9
70.82E-9,15.87E9
70.88E-9,15.87E9
70.94E-9,15.86E9
71.01E-9,15.87E9
71.07E-9,15.87E9
71.13E-9,15.87E9
71.20E-9,15.86E9
71.26E-9,15.87E9
71.32E-9,15.87E9
71.38E-9,15.86E9
71.45E-9,15.87E9
71.51E-9,15.87E9
